	AfumigatusA1163.aa	AfumigatusAf293.aa	CneoformansH99.aa	Foxysporum4287.aa	Moryzae70-15.aa	NcrassaOR74A.aa	Spombe972h.aa	Umaydis521.aa	YlipolyticaCLIB122.aa	Total
OG0000266	2	2	5	2	2	3	1	2	2	21
OG0000267	2	2	1	6	2	3	2	1	2	21
OG0000268	3	3	2	3	2	3	1	2	2	21
OG0000269	1	1	1	12	1	2	1	1	1	21
OG0000270	2	2	1	10	2	1	1	1	1	21
OG0000271	3	4	2	3	3	3	0	0	3	21
OG0000272	3	3	2	7	2	2	0	2	0	21
OG0000273	2	2	0	15	1	1	0	0	0	21
OG0000274	1	1	1	13	1	1	1	1	1	21
OG0000275	1	1	1	13	1	1	1	1	1	21
OG0000276	2	2	2	3	7	2	1	2	0	21
OG0000277	3	3	1	6	3	3	0	1	1	21
OG0000278	1	1	1	13	1	1	1	1	1	21
OG0000279	1	1	2	6	2	1	4	2	2	21
OG0000280	1	1	0	14	3	1	0	0	1	21
OG0000281	0	0	0	20	1	0	0	0	0	21
OG0000282	0	0	0	0	21	0	0	0	0	21
OG0000283	3	2	0	9	1	0	4	1	0	20
OG0000284	4	4	4	4	2	1	0	1	0	20
OG0000285	2	2	1	7	2	2	1	1	2	20
OG0000286	3	3	0	3	9	2	0	0	0	20
OG0000287	2	2	1	8	2	1	1	2	1	20
OG0000288	2	2	0	6	4	5	0	1	0	20
OG0000289	2	2	1	7	2	2	1	2	1	20
OG0000290	2	2	5	1	1	1	2	5	1	20
OG0000291	3	3	0	12	2	0	0	0	0	20
OG0000292	2	2	1	6	3	4	0	1	1	20
OG0000293	1	1	9	5	2	1	0	1	0	20
OG0000294	3	3	1	7	1	2	0	1	2	20
OG0000295	1	1	0	16	1	1	0	0	0	20
OG0000296	2	2	1	7	2	2	2	1	1	20
OG0000297	5	6	2	3	1	1	1	0	1	20
OG0000298	2	2	1	9	2	2	1	1	0	20
OG0000299	3	3	0	3	9	2	0	0	0	20
OG0000300	2	2	3	3	2	2	3	1	2	20
OG0000301	4	3	0	8	1	2	0	0	2	20
OG0000302	1	1	1	12	1	1	1	1	1	20
OG0000303	1	1	0	13	3	2	0	0	0	20
OG0000304	1	1	7	0	0	0	2	8	1	20
OG0000305	4	4	1	4	1	3	1	2	0	20
OG0000306	2	3	1	3	5	4	0	2	0	20
OG0000307	2	2	2	3	3	2	2	2	2	20
OG0000308	1	1	1	12	1	1	1	1	1	20
OG0000309	1	1	1	9	1	2	3	1	1	20
OG0000310	1	1	1	11	1	2	1	1	1	20
OG0000311	1	1	0	11	2	2	2	0	1	20
OG0000312	6	6	0	6	2	0	0	0	0	20
OG0000313	2	2	0	13	1	1	0	1	0	20
OG0000314	2	1	0	11	4	2	0	0	0	20
OG0000315	2	2	1	9	2	2	0	2	0	20
OG0000316	4	4	1	9	1	0	0	1	0	20
OG0000317	1	0	0	14	3	2	0	0	0	20
OG0000318	4	4	0	6	4	0	1	1	0	20
OG0000319	1	1	2	7	2	3	1	2	1	20
OG0000320	1	1	3	8	1	1	1	2	2	20
OG0000321	4	4	1	5	2	2	0	1	1	20
OG0000322	2	2	1	9	2	1	1	1	1	20
OG0000323	1	1	1	12	1	2	1	1	0	20
OG0000324	1	1	1	11	2	1	1	1	1	20
